src_romname;alt_name;src_system;dest_system
Elf_World_PIKO;Elf Wor;megadrive;megadrive
SwitchbladeGenesis_Final;Switchblade;megadrive;megadrive
Little-Lancelot-The-Europe;Little Lancelot;nes;nes
Pyramids_of_Ra_FINAL;Pyramids of Ra;nes;nes
Topracer1;Topracer;snes;snes
Tg2_conn2;Topracer2;snes;snes
freedoom1;doom;doom;doom
Dexanoid_R1;dexanoid;n64;n64
freedoom2;doom 2;doom2;doom2
Rick Dangerous;rickdangerous;rickdangerous;rickdangerous
asteroidsb;asteroids;gba;gb
flappy_the_duck;flappy;atari2600;atari2600
PrinceOfPersia_v3.0_1823;PrinceOfPersia;amiga600;amiga600
Aladdin_v1.4_AGA_0420;Aladdin;amiga600;amiga600
Super_Mario_Bros_64_STICK_-_Zeropaige;Super Mario Bros 64;c64;c64
Sonic_the_Hedgehog_R5;Sonic the Hedgehog;c64;c64
Championship Soccer (USA);Championship Soccer;atari2600;atari2600
